PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=580 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=628 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=698 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=722 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=445 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=457 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=492 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=512 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=522 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=538 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=562 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=600 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=659 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=744 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=795 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=537 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=440 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=478 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=507 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=520 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=529 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=533 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=550 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=581 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=630 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=701 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=426 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=465 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=497 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=514 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=542 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=566 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=609 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=670 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=756 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=465 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=450 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=485 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=509 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=520 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=527 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 52 received, 13% packet loss, time 59180ms
rtt min/avg/max/mdev = 426.624/553.240/795.773/83.826 ms
