PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=482 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=460 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=497 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=520 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=532 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=535 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=544 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=570 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=612 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=658 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=737 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=538 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=439 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=472 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=502 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=518 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=548 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=574 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=620 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=687 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=779 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=447 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=457 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=492 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=516 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=522 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=540 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=563 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=601 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=657 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=740 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=795 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=591 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=566 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=435 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=475 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=503 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=518 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=532 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=546 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=575 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=623 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 54 received, 10% packet loss, time 59128ms
rtt min/avg/max/mdev = 435.624/552.899/795.205/79.122 ms
