PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=598 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=657 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=729 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=545 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=437 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=479 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=505 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=518 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=535 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=549 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=578 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=624 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=695 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=791 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=756 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=466 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=458 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=492 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=513 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=522 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=530 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=538 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=562 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=600 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=658 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=738 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=548 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=435 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=476 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=503 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=519 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=533 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=549 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=575 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=623 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=693 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=790 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=441 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=460 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=493 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=514 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=529 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 53 received, 11% packet loss, time 59194ms
rtt min/avg/max/mdev = 435.694/557.663/791.143/87.023 ms
