PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=559 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=602 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=671 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=736 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=795 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=564 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=445 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=474 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=503 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=517 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=532 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=546 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=575 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=623 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=689 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=782 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=765 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=495 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=453 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=506 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=508 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=519 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=535 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=562 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=594 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=640 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=718 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=670 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=436 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=471 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=507 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=517 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=538 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=530 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=539 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=546 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=600 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=611 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=674 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=764 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=538 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=442 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=513 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=506 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=522 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=529 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=524 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 54 received, 10% packet loss, time 59091ms
rtt min/avg/max/mdev = 436.337/566.348/795.764/88.967 ms
