PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=745 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=490 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=445 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=482 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=508 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=520 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=535 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=553 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=586 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=639 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=716 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=670 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=581 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=432 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=464 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=496 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=514 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=541 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=568 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=608 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=669 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=755 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=796 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=572 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=433 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=468 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=499 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=517 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=544 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=575 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=616 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=680 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=772 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=793 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=591 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=456 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=452 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=488 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=510 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=520 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=536 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=558 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 56 received, 6% packet loss, time 59096ms
rtt min/avg/max/mdev = 432.828/558.617/796.385/89.098 ms
