PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=552 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=585 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=634 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=706 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=792 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=433 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=438 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=468 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=486 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=493 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=494 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=494 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=501 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=513 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=539 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=582 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=644 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=733 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=592 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=566 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=439 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=479 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=505 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=521 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=536 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=551 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=579 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=627 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=695 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=789 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=738 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=460 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=428 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=462 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=483 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=492 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=494 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=494 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=498 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=508 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=570 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=629 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=710 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=792 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=575 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=432 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=471 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=501 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=521 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=529 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=531 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 55 received, 8% packet loss, time 59073ms
rtt min/avg/max/mdev = 428.396/553.136/792.321/94.819 ms
