PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=530 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=552 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=567 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=609 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=671 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=757 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=499 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=450 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=485 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=508 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=519 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=536 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=555 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=590 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=645 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=722 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=793 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=556 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=434 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=471 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=500 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=517 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=532 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=545 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=574 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=619 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=683 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=775 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=472 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=455 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=488 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=511 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=522 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=538 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=559 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=594 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=651 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=728 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=551 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=436 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=474 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=504 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=519 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=524 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 53 received, 11% packet loss, time 59200ms
rtt min/avg/max/mdev = 434.828/556.060/793.772/83.541 ms
