PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=530 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=448 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=486 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=508 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=521 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=536 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=558 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=590 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=641 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=732 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=448 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=470 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=533 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=516 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=532 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=545 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=571 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=614 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=678 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=766 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=497 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=451 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=488 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=511 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=548 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=559 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=608 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=647 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=727 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=563 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=452 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=476 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=519 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=521 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=539 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=536 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=537 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=550 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=583 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=634 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=692 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 52 received, 13% packet loss, time 59168ms
rtt min/avg/max/mdev = 448.157/551.329/766.652/70.878 ms
