PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=530 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=541 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=565 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=607 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=666 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=752 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=541 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=440 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=477 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=505 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=518 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=533 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=549 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=579 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=628 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=700 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=446 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=434 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=466 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=483 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=492 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=494 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=492 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=500 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=511 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=538 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=582 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=645 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=732 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=570 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=439 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=476 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=503 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=520 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=529 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=530 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=538 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=548 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=577 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=622 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=682 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=775 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=795 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=583 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=457 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=454 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=491 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=512 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 53 received, 11% packet loss, time 59173ms
rtt min/avg/max/mdev = 434.543/551.172/795.682/85.184 ms
