PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=624 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=694 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=788 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=444 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=459 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=494 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=513 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=536 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=540 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=563 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=604 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=661 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=746 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=551 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=424 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=449 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=475 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=489 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=494 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=496 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=498 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=505 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=521 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=552 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=605 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=677 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=771 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=483 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=455 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=490 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=514 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=529 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=529 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=530 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=542 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=559 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=598 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=651 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=728 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=625 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=560 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=435 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=474 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=502 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=517 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=532 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 53 received, 11% packet loss, time 59123ms
rtt min/avg/max/mdev = 424.100/549.664/788.327/83.891 ms
