PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=574 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=436 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=473 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=502 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=518 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=529 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=547 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=575 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=619 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=688 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=780 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=473 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=453 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=489 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=510 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=522 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=537 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=558 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=594 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=649 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=727 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=564 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=433 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=473 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=501 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=518 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=532 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=548 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=573 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=619 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=685 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=779 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=496 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=451 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=487 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=510 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=520 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=536 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=557 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=593 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 52 received, 13% packet loss, time 59143ms
rtt min/avg/max/mdev = 433.629/547.145/780.216/75.060 ms
