PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=744 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=794 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=522 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=443 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=481 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=507 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=520 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=536 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=533 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=551 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=583 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=632 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=705 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=693 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=578 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=428 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=463 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=496 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=515 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=522 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=530 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=541 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=567 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=608 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=671 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=756 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=796 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=444 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=484 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=509 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=521 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=536 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=555 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=586 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=637 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=711 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=670 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=433 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=466 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=497 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=516 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=543 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=568 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 55 received, 8% packet loss, time 59081ms
rtt min/avg/max/mdev = 428.373/558.597/796.619/87.014 ms
