PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=533 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=542 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=559 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=595 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=646 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=722 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=621 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=545 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=431 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=471 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=499 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=515 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=522 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=522 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=545 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=573 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=622 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=688 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=779 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=774 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=590 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=468 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=459 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=494 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=513 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=538 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=534 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=542 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=567 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=604 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=660 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=741 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=554 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=439 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=474 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=504 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=518 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=534 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=548 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=578 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=624 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=692 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=789 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=475 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=457 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=491 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=514 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=526 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 55 received, 8% packet loss, time 59133ms
rtt min/avg/max/mdev = 431.447/560.945/789.440/84.799 ms
