PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=544 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=442 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=480 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=506 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=520 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=534 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=552 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=583 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=631 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=704 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=442 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=464 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=496 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=514 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=543 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=568 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=610 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=667 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=754 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=489 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=444 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=482 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=507 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=519 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=534 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=552 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=585 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=637 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=711 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=570 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=433 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=470 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=502 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=517 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=527 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=532 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=544 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=574 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=617 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=681 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 52 received, 13% packet loss, time 59148ms
rtt min/avg/max/mdev = 433.411/544.766/754.580/68.396 ms
